Date,sap_daily
12/11/2022,0.909530839
13/11/2022,0.743716434
14/11/2022,0.467340462
15/11/2022,0.423336532
16/11/2022,0.337692357
17/11/2022,0.421887667
18/11/2022,0.308200092
19/11/2022,0.47837778
20/11/2022,0.592362666
21/11/2022,0.651554387
22/11/2022,0.396804078
23/11/2022,0.676363838
24/11/2022,0.229243889
25/11/2022,0.513226885
26/11/2022,0.538378275
27/11/2022,0.935447216
28/11/2022,0.328029983
29/11/2022,0.49501802
30/11/2022,0.186303713
01/12/2022,0.324940624
02/12/2022,1.145725673
03/12/2022,1.237646046
04/12/2022,0.737453274
05/12/2022,0.356909758
06/12/2022,2.273449526
07/12/2022,3.04194322
08/12/2022,1.672513708
09/12/2022,0.443259017
10/12/2022,0.227393185
11/12/2022,1.258521015
12/12/2022,1.351940721
13/12/2022,0.503725007
14/12/2022,0.216270211
15/12/2022,0.171132866
16/12/2022,0.066791654
17/12/2022,2.497507789
18/12/2022,3.995542879
19/12/2022,0.438137419
20/12/2022,0.259448091
21/12/2022,0.222645981
22/12/2022,0.681799511
23/12/2022,0.661065334
24/12/2022,0.605143115
25/12/2022,0.610485552
26/12/2022,1.186156292
27/12/2022,0.635913363
28/12/2022,1.314096031
29/12/2022,0.575016747
30/12/2022,0.391949101
31/12/2022,0.3632986
01/01/2023,1.223196711
02/01/2023,1.140946617
03/01/2023,0.646772228
04/01/2023,0.772182305
05/01/2023,0.213139322
06/01/2023,0.879915507
07/01/2023,0.665592508
08/01/2023,0.618746142
09/01/2023,0.839729487
10/01/2023,1.540621994
11/01/2023,0.122747885
12/01/2023,0.442516846
13/01/2023,0.495938144
14/01/2023,1.024417713
15/01/2023,0.810686522
16/01/2023,1.910936904
17/01/2023,1.062715782
18/01/2023,1.130077116
19/01/2023,1.517991096
20/01/2023,0.351577045
21/01/2023,0.273611878
22/01/2023,0.169595324
23/01/2023,0.25041555
24/01/2023,0.261071889
25/01/2023,0.406688514
26/01/2023,0.52511165
27/01/2023,0.594146167
28/01/2023,0.382618288
29/01/2023,0.348634664
30/01/2023,0.345425269
31/01/2023,0.296686686
01/02/2023,0.330404785
02/02/2023,0.195425756
03/02/2023,0.269658692
04/02/2023,0.115162939
05/02/2023,1.06226683
06/02/2023,1.248973419
07/02/2023,0.643445267
08/02/2023,0.677283728
09/02/2023,0.639123521
10/02/2023,0.576598646
11/02/2023,0.475108997
12/02/2023,0.280195374
13/02/2023,0.360818313
14/02/2023,0.723396531
15/02/2023,1.084506867
16/02/2023,1.60657051
17/02/2023,0.953908696
18/02/2023,1.136540818
19/02/2023,1.329971147
20/02/2023,1.165358127
21/02/2023,0.990946086
22/02/2023,1.050134797
23/02/2023,0.638537962
24/02/2023,0.696500337
25/02/2023,0.527971539
26/02/2023,0.923110868
27/02/2023,0.697117324
28/02/2023,0.932416929
01/03/2023,0.793557707
02/03/2023,0.807561311
03/03/2023,0.589407614
04/03/2023,0.704710909
05/03/2023,1.172055011
06/03/2023,1.486456872
07/03/2023,1.549279743
08/03/2023,0.87160183
09/03/2023,0.616940948
10/03/2023,0.768654375
11/03/2023,1.075979511
12/03/2023,0.345842192
13/03/2023,0.761050328
14/03/2023,1.282526296
15/03/2023,2.426274718
16/03/2023,0.696717903
17/03/2023,1.331604072
18/03/2023,2.173888802
19/03/2023,1.046399298
20/03/2023,0.719343952
21/03/2023,0.948848217
22/03/2023,1.033605208
23/03/2023,1.327741885
24/03/2023,0.871980553
25/03/2023,0.30524689
